"Fri, 24 Jul 2020 10:00:58 AM GMT"
 Country , Number of cases , Deaths , Continent 
United States,4170328,147341,North America
Brazil,2289951,84207,South America
India,1290284,30657,Asia
Russia,800849,13046,Europe
South Africa,408052,6093,Africa
Peru,371096,17654,South America
Mexico,370712,41908,North America
Chile,338759,8838,South America
Spain,317246,28429,Europe
United Kingdom,297146,45554,Europe
Iran,284034,15074,Asia
Pakistan,270400,5763,Asia
Saudi Arabia,260394,2635,Asia
Italy,245338,35092,Europe
Colombia,226373,7688,South America
Turkey,223315,5563,Asia
Bangladesh,218658,2836,Asia
Germany,205142,9187,Europe
France,179398,30182,Europe
Argentina,148027,2702,South America
Canada,112672,8874,North America
Qatar,108244,164,Asia
Iraq,102226,4122,Asia
Indonesia,95418,4665,Asia
Egypt,90413,4480,Africa
China,83750,4634,Asia
Sweden,78763,5676,Europe
Kazakhstan,78486,585,Asia
Ecuador,78148,5439,South America
Philippines,76444,1879,Asia
Oman,72646,355,Asia
Belarus,66688,519,Europe
Bolivia,65252,2407,South America
Belgium,64847,9812,Europe
Ukraine,62823,1571,Europe
Kuwait,61872,421,Asia
Israel,58559,446,Asia
United Arab Emirates,57988,342,Asia
Dominican Republic,57615,1006,North America
Panama,56817,1209,North America
Netherlands,52404,6139,Europe
Portugal,49379,1705,Europe
Singapore,49375,27,Asia
Guatemala,42192,1632,North America
Poland,42038,1655,Europe
Romania,41275,2126,Europe
Nigeria,38948,833,Africa
Bahrain,37996,136,Asia
Honduras,36902,1011,North America
Armenia,36613,692,Asia
Afghanistan,35981,1225,Asia
Switzerland,34000,1975,Europe
Kyrgyzstan,31247,1211,Asia
Ghana,30366,153,Africa
Azerbaijan,28980,391,Asia
Japan (+Diamond Princess),27741,1003,Asia
Ireland,25826,1763,Europe
Algeria,25484,1124,Africa
Serbia,22443,508,Europe
Moldova,22105,719,Europe
Austria,20214,711,Europe
Uzbekistan,18986,103,Asia
Morocco,18264,292,Africa
Nepal,18241,43,Asia
Cameroon,16522,382,Africa
Kenya,15601,263,Africa
Côte d'Ivoire,15001,93,Africa
Czech Republic (Czechia),14800,365,Europe
South Korea,13979,298,Asia
Venezuela,13613,129,South America
Australia,13595,139,Australia/Oceania
Denmark,13390,612,Europe
El Salvador,13377,379,North America
Costa Rica,13129,80,North America
Ethiopia,11933,197,Africa
Sudan,11237,708,Africa
Bulgaria,9853,329,Europe
State of Palestine,9744,67,Asia
North Macedonia,9669,445,Europe
Bosnia and Herzegovina,9462,274,Europe
Senegal,9266,178,Africa
Norway,9085,255,Europe
Malaysia,8840,123,Asia
DR Congo,8720,201,Africa
Madagascar,8381,70,Africa
Finland,7380,328,Europe
Haiti,7197,154,North America
French Guiana,7086,40,South America
Tajikistan,7060,58,Asia
Guinea,6806,42,Africa
Gabon,6588,47,Africa
Mauritania,6067,156,Africa
Luxembourg,5952,112,Europe
Djibouti,5031,58,Africa
Croatia,4634,128,Europe
Central African Republic,4590,58,Africa
Albania,4466,123,Europe
Hungary,4398,596,Europe
Paraguay,4113,36,South America
Greece,4110,201,Europe
Zambia,3789,134,Africa
Nicaragua,3439,108,North America
Malawi,3302,76,Africa
Thailand,3279,58,Asia
Lebanon,3260,43,Asia
Somalia,3171,93,Africa
Maldives,3120,15,Asia
Equatorial Guinea,3071,51,Africa
Mayotte,2862,38,Africa
Congo,2851,50,Africa
Sri Lanka,2753,11,Asia
Montenegro,2569,40,Europe
Mali,2494,123,Africa
Cuba,2466,87,North America
Hong Kong,2373,16,Asia
Libya,2314,56,Africa
South Sudan,2239,45,Africa
Cabo Verde,2190,21,Africa
Zimbabwe,2124,28,Africa
Slovakia,2118,28,Europe
Slovenia,2052,115,Europe
Estonia,2028,69,Europe
Eswatini,2021,28,Africa
Lithuania,1986,80,Europe
Guinea-Bissau,1954,26,Africa
Iceland,1841,10,Europe
Sierra Leone,1752,66,Africa
Rwanda,1710,5,Africa
Benin,1694,34,Africa
Yemen,1654,461,Asia
Mozambique,1582,11,Africa
New Zealand,1556,22,Australia/Oceania
Namibia,1522,7,Africa
Tunisia,1406,50,Africa
Suriname,1234,23,South America
Latvia,1205,31,Europe
Uruguay,1141,34,South America
Jordan,1131,11,Asia
Niger,1124,69,Africa
Liberia,1117,71,Africa
Georgia,1104,16,Asia
Uganda,1079,0,Africa
Burkina Faso,1070,53,Africa
Cyprus,1045,19,Asia
Chad,915,75,Africa
Andorra,889,52,Europe
Angola,851,33,Africa
Togo,828,16,Africa
Jamaica,821,10,North America
Sao Tome & Principe,749,14,Africa
San Marino,699,42,Europe
Malta,680,9,Europe
Réunion,646,3,Africa
Botswana,592,1,Africa
Syria,584,35,Asia
Channel Islands,583,47,Europe
Tanzania,509,21,Africa
Taiwan,458,7,Asia
Vietnam,412,0,Asia
Lesotho,359,6,Africa
Guyana,351,19,South America
Burundi,345,1,Africa
Mauritius,343,10,Africa
Myanmar,343,6,Asia
Comoros,340,7,Africa
Isle of Man,336,24,Europe
Mongolia,288,0,Asia
Bahamas,274,11,North America
Martinique,262,15,North America
Eritrea,261,0,Africa
Cayman Islands,203,1,North America
Cambodia,202,0,Asia
Guadeloupe,195,14,North America
Faeroe Islands,191,0,Europe
Gibraltar,184,0,Europe
Gambia,170,5,Africa
Bermuda,153,9,North America
Trinidad and Tobago,141,8,North America
Brunei ,141,3,Asia
Aruba,117,3,North America
Monaco,114,4,Europe
Seychelles,108,0,Africa
Barbados,106,7,North America
Bhutan,92,0,Asia
Turks and Caicos,90,2,North America
Liechtenstein,86,1,Europe
Sint Maarten,81,15,North America
Antigua and Barbuda,76,3,North America
French Polynesia,62,0,Australia/Oceania
St. Vincent & Grenadines,52,0,North America
Belize,47,2,North America
Saint Martin,46,3,North America
Macao,46,0,Asia
Papua New Guinea,31,0,Australia/Oceania
Curaçao,28,1,North America
Fiji,27,0,Australia/Oceania
Timor-Leste,24,0,Asia
Saint Lucia,24,0,North America
Grenada,23,0,North America
New Caledonia,22,0,Australia/Oceania
Laos,20,0,Asia
Dominica,18,0,North America
Saint Kitts & Nevis,17,0,North America
Falkland Islands,13,0,South America
Greenland,13,0,North America
Montserrat,12,1,North America
Holy See,12,0,Europe
Western Sahara,10,1,Africa
Caribbean Netherlands,10,0,North America
MS Zaandam,9,2,
British Virgin Islands,8,1,North America
Saint Barthelemy,6,0,North America
Saint Pierre & Miquelon,4,0,North America
Anguilla,3,0,North America
 
"Fri, 24 Jul 2020 10:03:07 AM GMT"
 Country , Number of cases , Deaths , Continent 
United States,4170333,147341,North America
Brazil,2289951,84207,South America
India,1290284,30657,Asia
Russia,800849,13046,Europe
South Africa,408052,6093,Africa
Peru,371096,17654,South America
Mexico,370712,41908,North America
Chile,338759,8838,South America
Spain,317246,28429,Europe
United Kingdom,297146,45554,Europe
Iran,284034,15074,Asia
Pakistan,270400,5763,Asia
Saudi Arabia,260394,2635,Asia
Italy,245338,35092,Europe
Colombia,226373,7688,South America
Turkey,223315,5563,Asia
Bangladesh,218658,2836,Asia
Germany,205142,9187,Europe
France,179398,30182,Europe
Argentina,148027,2702,South America
Canada,112672,8874,North America
Qatar,108244,164,Asia
Iraq,102226,4122,Asia
Indonesia,95418,4665,Asia
Egypt,90413,4480,Africa
China,83750,4634,Asia
Sweden,78763,5676,Europe
Kazakhstan,78486,585,Asia
Ecuador,78148,5439,South America
Philippines,76444,1879,Asia
Oman,72646,355,Asia
Belarus,66688,519,Europe
Bolivia,65252,2407,South America
Belgium,64847,9812,Europe
Ukraine,62823,1571,Europe
Kuwait,61872,421,Asia
Israel,58559,446,Asia
United Arab Emirates,57988,342,Asia
Dominican Republic,57615,1006,North America
Panama,56817,1209,North America
Netherlands,52404,6139,Europe
Portugal,49379,1705,Europe
Singapore,49375,27,Asia
Guatemala,42192,1632,North America
Poland,42038,1655,Europe
Romania,41275,2126,Europe
Nigeria,38948,833,Africa
Bahrain,37996,136,Asia
Honduras,36902,1011,North America
Armenia,36613,692,Asia
Afghanistan,35981,1225,Asia
Switzerland,34000,1975,Europe
Kyrgyzstan,31247,1211,Asia
Ghana,30366,153,Africa
Azerbaijan,28980,391,Asia
Japan (+Diamond Princess),27741,1003,Asia
Ireland,25826,1763,Europe
Algeria,25484,1124,Africa
Serbia,22443,508,Europe
Moldova,22105,719,Europe
Austria,20214,711,Europe
Uzbekistan,18986,103,Asia
Morocco,18264,292,Africa
Nepal,18241,43,Asia
Cameroon,16522,382,Africa
